"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
21,7,58,9.516,6379346510,2779346510,7,0.09560994803905487,9.444584846496582,1.159708619117737
25,8,59,9.625999999999999,6379346512,2779346512,-7,0.09838259220123291,9.553742408752441,-1.17311429977417
3,9,60,8.214,6379346515,2779346515,9,0.08495624363422394,8.1124267578125,1.284952640533447
33,10,60,9.598000000000001,6379346517,2779346517,-5,0.1001257225871086,9.560952186584473,-0.836520791053772
6,11,61,9.288,6379346519,2779346519,11,0.09706614166498184,9.116836547851563,1.772233963012695
38,12,62,9.57,6379346522,2779346522,-3,0.103413425385952,9.55632495880127,-0.5008550882339478
7,13,63,7.976,6379346524,2779346524,13,0.08545121550559998,7.771105766296387,1.794209599494934
25,14,64,9.576000000000001,6379346526,2779346526,-1,0.1069464311003685,9.573944091796875,-0.1671242415904999
11,15,64,6.992,6379346528,2779346528,15,0.07543858140707016,6.753332138061523,1.809662818908691
4,0,72,4.954,6379346549,2779346549,-15,0.06013097241520882,4.784818649291992,-1.282189607620239
5,1,73,9.554,6379346552,2779346552,1,0.1217047572135925,9.551769256591797,0.1667402982711792
3,2,74,5.702,6379346554,2779346554,-13,0.0717543363571167,5.555394649505615,-1.282670855522156
23,3,75,9.576000000000001,6379346556,2779346556,3,0.1251741796731949,9.562057495117188,0.5011691451072693
6,4,75,6.798,6379346558,2779346558,-11,0.08734820038080215,6.672529697418213,-1.297119498252869
40,5,76,9.481999999999999,6379346561,2779346561,5,0.1252917349338531,9.445087432861328,0.8264107704162598
2,6,77,8.375999999999999,6379346563,2779346563,-9,0.1111761480569839,8.272130012512207,-1.310295104980469
22,7,78,9.51,6379346565,2779346565,7,0.1284960508346558,9.438239097595215,1.158977508544922
22,8,79,9.625999999999999,6379346568,2779346568,-7,0.131730780005455,9.553340911865234,-1.17311429977417
18,9,80,9.552,6379346570,2779346570,9,0.1317247748374939,9.433479309082031,1.494261980056763
33,10,80,9.602,6379346572,2779346572,-5,0.1335546970367432,9.564529418945313,-0.8368694186210632
6,11,81,9.290000000000001,6379346575,2779346575,11,0.128917008638382,9.118405342102051,1.772615551948547
40,12,82,9.57,6379346577,2779346577,-3,0.1367705911397934,9.555906295776367,-0.5008550882339478
7,13,83,7.962,6379346579,2779346579,13,0.1123793125152588,7.757120609283447,1.791060328483582
5,14,84,9.614000000000001,6379346581,2779346581,-1,0.1409220844507217,9.611502647399902,-0.1677874326705933
9,15,85,7.002,6379346584,2779346584,15,0.1003335639834404,6.762668609619141,1.812250971794128
4,0,92,4.954,6379346605,2779346605,-15,0.07683274149894714,4.784579753875732,-1.282189607620239
2,1,93,9.604000000000001,6379346607,2779346607,1,0.1558573395013809,9.601272583007813,0.1676129102706909
3,2,94,5.722,6379346609,2779346609,-13,0.0914655476808548,5.574594974517822,-1.287169933319092
19,3,95,9.568,6379346611,2779346611,3,0.1584187746047974,9.553573608398438,0.5007504224777222
4,4,95,6.764,6379346614,2779346614,-11,0.1100857853889465,6.638813495635986,-1.290632009506226
40,5,96,9.484,6379346616,2779346616,5,0.1582938581705093,9.446584701538086,0.826585054397583
5,6,97,8.364000000000001,6379346618,2779346618,-9,0.1398499459028244,8.259841918945313,-1.308417916297913
23,7,98,9.508000000000001,6379346621,2779346621,7,0.1614069193601608,9.435748100280762,1.158733725547791
25,8,99,9.614000000000001,6379346623,2779346623,-7,0.1648715734481812,9.540914535522461,-1.171651840209961
24,9,100,9.558,6379346625,2779346625,9,0.1647563874721527,9.438887596130371,1.495200634002686
36,10,100,9.608000000000001,6379346628,2779346628,-5,0.1670446395874023,9.569980621337891,-0.8373923897743225
6,11,101,9.302,6379346630,2779346630,11,0.1609530299901962,9.129677772521973,1.774905323982239
40,12,102,9.566000000000001,6379346632,2779346632,-3,0.1700549870729446,9.551376342773438,-0.5006457567214966
7,13,103,7.962,6379346634,2779346634,13,0.139456033706665,7.756680965423584,1.791060328483582
5,14,104,14.78,6379346637,2779346637,-1,0.268222451210022,14.77531433105469,-0.2579465806484222
9,15,104,7.002,6379346639,2779346639,15,0.1227588281035423,6.762298583984375,1.812250971794128
4,0,112,4.942,6379346660,2779346660,-15,0.0933070033788681,4.772693634033203,-1.279083728790283
